table,feature,use_flag,dtype,missing_imputation,ords,id col,,
customers_online,cust_id,0,,,,1,,
customers_online,global_member_token,0,,,,1,,
customers_online,city_first,0,object,,,,op,pa
customers_online,zip_postal_cd_first,0,object,,,,,
composite_orders,cust_id,0,,,,1,,
composite_orders,ords_last_0-6_order_pay_catg_cd_g_per,1,float,0,,,,
composite_orders,ords_last_6-12_order_pay_catg_cd_g_per,1,float,0,,,,
composite_orders,ords_last_12-24_order_pay_catg_cd_g_per,1,float,0,,,,
composite_orders,ords_last_24-24_order_pay_catg_cd_g_per,1,float,0,,,,
composite_orders,ords_last_0-6_order_pay_catg_cd_a_per,1,float,0,,,,
composite_orders,ords_last_6-12_order_pay_catg_cd_a_per,1,float,0,,,,
composite_orders,ords_last_12-24_order_pay_catg_cd_a_per,1,float,0,,,,
composite_orders,ords_last_24-24_order_pay_catg_cd_a_per,1,float,0,,,,
composite_orders,ords_last_0-6_order_pay_catg_cd_k_per,1,float,0,,,,
composite_orders,ords_last_6-12_order_pay_catg_cd_k_per,1,float,0,,,,
composite_orders,ords_last_12-24_order_pay_catg_cd_k_per,1,float,0,,,,
composite_orders,ords_last_24-24_order_pay_catg_cd_k_per,1,float,0,,,,
composite_orders,ords_last_0-6_order_pay_catg_cd_d_per,1,float,0,,,,
composite_orders,ords_last_6-12_order_pay_catg_cd_d_per,1,float,0,,,,
composite_orders,ords_last_12-24_order_pay_catg_cd_d_per,1,float,0,,,,
composite_orders,ords_last_24-24_order_pay_catg_cd_d_per,1,float,0,,,,
composite_nonorders,cust_id,0,,,,1,,
composite_nonorders,nonords_prev_total,1,float,0,,,,
composite_nonorders,nonords_last_0-6_per,1,float,0,,,,
composite_nonorders,nonords_last_6-12_per,1,float,0,,,,
composite_nonorders,nonords_last_12-24_per,1,float,0,,,,
composite_nonorders,nonords_last_24-24_per,1,float,0,,,,
composite_nonorders,nonords_last_0-6_lob_cd_1_per,1,float,0,,,,
composite_nonorders,nonords_last_6-12_lob_cd_1_per,1,float,0,,,,
composite_nonorders,nonords_last_12-24_lob_cd_1_per,1,float,0,,,,
composite_nonorders,nonords_last_24-24_lob_cd_1_per,1,float,0,,,,
composite_nonorders,nonords_last_0-6_lob_cd_2_per,1,float,0,,,,
composite_nonorders,nonords_last_6-12_lob_cd_2_per,1,float,0,,,,
composite_nonorders,nonords_last_12-24_lob_cd_2_per,1,float,0,,,,
composite_nonorders,nonords_last_24-24_lob_cd_2_per,1,float,0,,,,
composite_nonorders,nonords_last_0-6_lob_cd_3_per,1,float,0,,,,
composite_nonorders,nonords_last_6-12_lob_cd_3_per,1,float,0,,,,
composite_nonorders,nonords_last_12-24_lob_cd_3_per,1,float,0,,,,
composite_nonorders,nonords_last_24-24_lob_cd_3_per,1,float,0,,,,
composite_nonorders,nonords_last_0-6_lob_cd_4_per,1,float,0,,,,
composite_nonorders,nonords_last_6-12_lob_cd_4_per,1,float,0,,,,
composite_nonorders,nonords_last_12-24_lob_cd_4_per,1,float,0,,,,
composite_nonorders,nonords_last_24-24_lob_cd_4_per,1,float,0,,,,
composite_nonorders,nonords_last_0-6_lob_cd_9_per,1,float,0,,,,
composite_nonorders,nonords_last_6-12_lob_cd_9_per,1,float,0,,,,
composite_nonorders,nonords_last_12-24_lob_cd_9_per,1,float,0,,,,
