effort_id,Selection date,Month,PCH POP,PCH Optinrate,PCH Optin count,,effort_id,Population,Optins from table,optin rate before merge,Optins after merge,opt in rate after merge,Type,dropoff %,Population having an online ID,Optins with an LTV (excl. NA),Sum LTV,# of opt ins where LTV > 0,# of opt ins where LTV = 0,# of opt ins where LTV < 0,Min LTV,Max LTV,Median LTV
20-H700,11-19-19,January,"500,500",10.6%,"52,938",,20700,500273,53319,10.7%,49883,10.0%,House,6.44%,,,398071.919,116554,71,3044,,,
20-H702,02-05-20,March,"270,346",12.2%,"32,881",,20702,270238,32880,12.2%,30366,11.2%,House,7.65%,,,391232.4633,49617,10,863,,,
20-H704,03-26-20,May,"250,250",14.2%,"35,420",,20704,250214,35911,14.4%,33450,13.4%,House,6.85%,,,245353.1864,59770,8,1406,,,
20-H706,06-09-20,July,"350,400",14.0%,"48,905",,20706,350281,48902,14.0%,44728,12.8%,House,8.54%,,,550456.3254,110940,28,1000,,,
20-H708,08-11-20,September,"275,300",13.2%,"36,477",,20708,275225,36482,13.3%,33702,12.2%,House,7.62%,,,221621.3963,56326,19,1391,,,
20-H732,01-21-20,January,"350,396",14.3%,"50,037",,20732,350302,50060,14.3%,47992,13.7%,Ultimate Z,4.13%,,,296889.4724,88926,20,1762,,,
20-H734,03-26-20,March,"250,250",10.9%,"27,239",,20734,250209,27241,10.9%,25642,10.2%,Ultimate Z,5.87%,,,161091.9003,37008,13,815,,,
20-H736,05-12-20,May,"250,000",9.4%,"23,470",,20736,250238,23923,9.6%,22283,8.9%,Ultimate Z,6.86%,,,163023.4515,30336,8,1018,,,
20-H738,07-22-20,July,"300,346",13.2%,"39,762",,20738,300289,39768,13.2%,38106,12.7%,Ultimate Z,4.18%,,,134990.8504,,,,,,
20-H720,11-19-19,January,"140,100",5.7%,"7,969",,20720,140096,8017,5.7%,7800,5.6%,Former VIPS,2.71%,,,121680.5127,,,,,,
20-H722,02-05-20,March,"135,100",6.4%,"8,631",,20722,135089,8630,6.4%,8425,6.2%,Former VIPS,2.38%,,,182074.6221,,,,,,
20-H724,03-26-20,May,"68,068",5.9%,"4,048",,20724,68066,4128,6.1%,4004,5.9%,Former VIPS,3.00%,,,64001.94047,,,,,,
20-H726,06-09-20,July,"150,200",7.8%,"11,646",,20726,150197,11646,7.8%,11355,7.6%,Former VIPS,2.50%,,,191780.7227,,,,,,
20-H728 ,08-11-20,September,"140,100",7.8%,"10,939",,20728,140091,10938,7.8%,10554,7.5%,Former VIPS,3.51%,,,59888.88008,,,,,,
20-H754,03-26-20,March,"68,068",4.2%,"2,863",,20754,68064,2863,4.2%,2796,4.1%,Former VIPS,2.34%,,,39069.48667,,,,,,
20-H712,01-07-20 to 04-13-20,Q1,"282,053",10.0%,"28,321",,20-H712,,,,,,House conversion,,,,,,,,,,
20-H714,04-14-20 to 08-03-20,Q2,"191,705",11.6%,"22,229",,20-H714,,,,,,House conversion,,,,,,,,,,
20-H716,08-04-20 to 10-25-20,Q3,"130,000",7.5%,"9,750",,20-H716,,,,,,House conversion,,,,,,,,,,
20-NB712,01-07-20 to 04-13-20,Q1,"940,326",9.2%,"86,564",,20-NB712,,,,,,Prospect conversion,,,,,,,,,,
20-NB714,04-14-20 to 08-03-20,Q2,"453,897",8.2%,"37,327",,20-NB714,,,,,,Prospect conversion,,,,,,,,,,
20-NB716,08-04-20 to 10-25-20,Q3,"300,000",7.0%,"21,000",,20-NB716,,,,,,Prospect conversion,,,,,,,,,,
,,,,,,,,messagedirected_type,,,,,,,,,,,,,,,
,,,,,,,20712,a,house,target,,,,,,,,,,,,,
20702,,,,,,,20712,b,prosc,,,,,,,,,,,,,,
,Cohorts,Optin,Population,Optins,,,1. ltv,aiswarya,,,,,,,,,,,,,,,
<12months,Core Customers,10.33%,165846,17125,61%,,2. filling numbers,rabi,,,,,,,,,,,,,,,
>12months,Customers,8.00%,32278,2582,12%,,3. aiswarya,get numbers,,,,,,,,,,,,,,,
,Non Buyers(sweeps),14.78%,72114,10659,27%,,4. rabi,filling numbers,,,,,,,,,,,,,,,
,,0.1123674925,270238,30366,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
20732,,Optin,Population,Optins,,,,,,,,,,,,,,,,,,,
,Core Customers,13.66%,267288,36519,76%,,,,,,,,,,,,,,,,,,
,Customers,12.79%,41688,5333,12%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),14.86%,41326,6140,12%,,,,,,,,,,,,,,,,,,
,,,350302,47992,,,,,,,,,,,,,,,,,,,
20734,,Optin,Population,Optins,,,,,,,,,,,,,,,,,,,
,Core Customers,10.79%,130574,14091,52%,,,,,,,,,,,,,,,,,,
,Customers,7.13%,43629,3109,17%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),11.11%,76006,8442,30%,,,,,,,,,,,,,,,,,,
,,,250209,25642,,,,,,,,,,,,,,,,,,,
20736,,Optin,Population,Optins,,,,,,,,,,,,,,,,,,,
,Core Customers,8.77%,214935,18839,86%,,,,,,,,,,,,,,,,,,
,Customers,9.39%,25123,2360,10%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),10.65%,10180,1084,4%,,,,,,,,,,,,,,,,,,
,,,250238,22283,,,,,,,,,,,,,,,,,,,
20738,,Optin,Population,Optins,,,,,,,,,,,,,,,,,,,
,Core Customers,11.90%,162346,19317,54%,,,,,,,,,,,,,,,,,,
,Customers,10.82%,54699,5921,18%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),15.46%,83244,12868,28%,,,,,,,,,,,,,,,,,,
,,,300289,38106,,,,,,,,,,,,,,,,,,,
20700,,Optin,Population,Optins,,,,,,,,,,,,,,,,,,,
,Core Customers,8.77%,330064,28958,66%,,,,,,,,,,,,,,,,,,
,Customers,9.36%,71326,6679,14%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),14.41%,98883,14246,20%,,,,,,,,,,,,,,,,,,
,,,500273,49883,,,,,,,,,,,,,,,,,,,
20704,,Optin,Population,Optins,,,,,,,,,,,,,,,,,,,
,Core Customers,12.96%,128441,16648,51%,,,,,,,,,,,,,,,,,,
,Customers,11.22%,39744,4458,16%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),15.05%,82029,12344,33%,,,,,,,,,,,,,,,,,,
,,,250214,33450,,,,,,,,,,,,,,,,,,,
20706,,Optin,Population,Optins,,,,,,,,,,,,,,,,,,,
,Core Customers,12.77%,239307,30561,68%,,,,,,,,,,,,,,,,,,
,Customers,11.57%,49859,5769,14%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),13.74%,61115,8398,17%,,,,,,,,,,,,,,,,,,
,,,350281,44728,,,,,,,,,,,,,,,,,,,
20708,,Optin,Population,Optins,,,,,,,,,,,,,,,,,,,
,Core Customers,11.46%,171962,19708,62%,,,,,,,,,,,,,,,,,,
,Customers,8.41%,27510,2314,10%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),15.42%,75753,11680,28%,,,,,,,,,,,,,,,,,,
,,,275225,33702,,,,,,,,,,,,,,,,,,,
