,index,variable,value
2438,efforts_xsell_eff_last_6_12_lob_cd_1_order_no_countdist,efforts_xsell_eff_last_6_12_business_category_cd_a_order_no_countdist,1.0
2985,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_mean,order_items_item_last_12_24_unit_cost_amt_mean,1.0
3167,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,order_items_item_last_12_24_unit_cost_amt_sum,1.0
135,order_items_item_last_12_24_order_no_countdist,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,1.0
356,trans_trans_last_6_12_trans_type_cd_650_trans_amt_sum,trans_trans_last_6_12_trans_amt_payment_sum,1.0
747,efforts_xsell_eff_last_6_12_business_category_cd_a_order_no_countdist,efforts_xsell_eff_last_6_12_lob_cd_1_order_no_countdist,1.0
1383,order_items_item_last_12_24_unit_cost_amt_mean,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_mean,1.0
1565,order_items_item_last_12_24_unit_cost_amt_sum,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,1.0
4051,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,order_items_item_last_12_24_order_no_countdist,1.0
7743,trans_trans_last_6_12_trans_amt_payment_sum,trans_trans_last_6_12_trans_type_cd_650_trans_amt_sum,1.0
2164,efforts_xsell_eff_full_affinity_cd_cooking_days_since_xsell_effort_min,efforts_xsell_eff_full_affinity_cd_cooking_days_since_xsell_effort_max,0.9999849519836986
384,efforts_xsell_eff_full_affinity_cd_cooking_days_since_xsell_effort_max,efforts_xsell_eff_full_affinity_cd_cooking_days_since_xsell_effort_min,0.9999849519836986
1867,efforts_xsell_eff_last_6_12_affinity_cd_default_xsell_effort_id_countdist,efforts_xsell_eff_last_6_12_xsell_category_cd_d_xsell_effort_id_countdist,0.9993808239104887
6050,efforts_xsell_eff_last_6_12_xsell_category_cd_d_xsell_effort_id_countdist,efforts_xsell_eff_last_6_12_affinity_cd_default_xsell_effort_id_countdist,0.9993808239104887
3161,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,order_items_item_last_12_24_unit_cost_amt_sum,0.9986995580222389
1007,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,0.9986995580222389
1541,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,0.9986995580222389
1025,order_items_item_last_12_24_unit_cost_amt_sum,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,0.9986995580222389
6809,orders_ords_days_between_effort_order_max,orders_ords_days_between_effort_order_mean,0.9983983195719557
5385,orders_ords_days_between_effort_order_mean,orders_ords_days_between_effort_order_max,0.9983983195719557
6255,order_items_item_last_12_24_order_no_countdist,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,0.9979616224651735
6211,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,0.9979616224651735
4119,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,order_items_item_last_12_24_order_no_countdist,0.9979616224651735
159,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,0.9979616224651735
7322,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_line_item_no_countdist,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_countdist,0.987039954827698
2961,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_countdist,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_line_item_no_countdist,0.987039954827698
2146,customer_order_inquiry_cs_last_24_24_order_no_line_item_no_countdist,customer_order_inquiry_cs_last_24_24_order_no_countdist,0.9863166284909908
6863,customer_order_inquiry_cs_last_24_24_order_no_countdist,customer_order_inquiry_cs_last_24_24_order_no_line_item_no_countdist,0.9863166284909908
5888,trans_trans_days_between_order_trans_max,trans_trans_days_between_order_trans_mean,0.981221209993464
3485,trans_trans_days_between_order_trans_mean,trans_trans_days_between_order_trans_max,0.981221209993464
178,order_items_item_last_12_24_order_no_line_item_no_countdist,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,0.9677347132476789
4138,order_items_item_last_12_24_order_no_line_item_no_countdist,order_items_item_last_12_24_order_no_countdist,0.9677347132476789
7965,order_items_item_last_12_24_order_no_countdist,order_items_item_last_12_24_order_no_line_item_no_countdist,0.9677347132476789
7921,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,order_items_item_last_12_24_order_no_line_item_no_countdist,0.9677347132476789
7955,order_items_item_last_12_24_unit_cost_amt_sum,order_items_item_last_12_24_order_no_line_item_no_countdist,0.9673241910508718
3238,order_items_item_last_12_24_order_no_line_item_no_countdist,order_items_item_last_12_24_unit_cost_amt_sum,0.9673241910508718
1618,order_items_item_last_12_24_order_no_line_item_no_countdist,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,0.9673241910508718
7937,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,order_items_item_last_12_24_order_no_line_item_no_countdist,0.9673241910508718
6298,order_items_item_last_12_24_order_no_line_item_no_countdist,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,0.9666634925086801
7989,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,order_items_item_last_12_24_order_no_line_item_no_countdist,0.9666634925086801
1078,order_items_item_last_12_24_order_no_line_item_no_countdist,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,0.9655923153846615
7931,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,order_items_item_last_12_24_order_no_line_item_no_countdist,0.9655923153846615
7313,customer_order_inquiry_cs_last_24_24_order_no_countdist,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_countdist,0.9636788539964121
2151,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_countdist,customer_order_inquiry_cs_last_24_24_order_no_countdist,0.9636788539964121
6872,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_line_item_no_countdist,customer_order_inquiry_cs_last_24_24_order_no_line_item_no_countdist,0.9606305053561646
2956,customer_order_inquiry_cs_last_24_24_order_no_line_item_no_countdist,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_line_item_no_countdist,0.9606305053561646
2276,order_items_item_last_12_24_lob_cd_i_order_no_countdist,order_items_item_last_12_24_lob_cd_i_order_no_line_item_no_countdist,0.9604662871350175
2365,order_items_item_last_12_24_lob_cd_i_order_no_line_item_no_countdist,order_items_item_last_12_24_lob_cd_i_order_no_countdist,0.9604662871350175
2903,customer_order_inquiry_cs_last_24_24_order_no_countdist,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_line_item_no_countdist,0.9515057132710643
2102,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_line_item_no_countdist,customer_order_inquiry_cs_last_24_24_order_no_countdist,0.9515057132710643
66,composite_nonorders_nonords_last_12_24_per,composite_nonorders_nonords_last_12_24_lob_cd_9_per,0.949031904024506
5940,composite_nonorders_nonords_last_12_24_lob_cd_9_per,composite_nonorders_nonords_last_12_24_per,0.949031904024506
7366,customer_order_inquiry_cs_last_24_24_order_no_line_item_no_countdist,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_countdist,0.948817506774228
6921,customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_countdist,customer_order_inquiry_cs_last_24_24_order_no_line_item_no_countdist,0.948817506774228
2361,trans_trans_last_12_24_lob_cd_i_order_no_countdist,order_items_item_last_12_24_lob_cd_i_order_no_countdist,0.9466919831216579
1916,order_items_item_last_12_24_lob_cd_i_order_no_countdist,trans_trans_last_12_24_lob_cd_i_order_no_countdist,0.9466919831216579
6221,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,0.9433505353570568
1059,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,0.9433505353570568
6245,order_items_item_last_12_24_unit_cost_amt_sum,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,0.9430486102385248
1599,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,0.9430486102385248
6227,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,0.9430486102385248
3219,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,order_items_item_last_12_24_unit_cost_amt_sum,0.9430486102385248
1531,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,0.9415529323992025
4085,order_items_item_last_12_24_unit_cost_amt_sum,order_items_item_last_12_24_order_no_countdist,0.9415529323992025
1575,order_items_item_last_12_24_order_no_countdist,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,0.9415529323992025
3195,order_items_item_last_12_24_order_no_countdist,order_items_item_last_12_24_unit_cost_amt_sum,0.9415529323992025
125,order_items_item_last_12_24_unit_cost_amt_sum,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,0.9415529323992025
3151,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,order_items_item_last_12_24_unit_cost_amt_sum,0.9415529323992025
4067,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,order_items_item_last_12_24_order_no_countdist,0.9415529323992025
107,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,0.9415529323992025
101,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,0.9396340178376146
