,md_5,md_8,md_11,md_14,md_17,md_20,mean_imp
efforts_xsell_eff_last_12_24_affinity_cd_coins_xsell_effort_id_countdist,0.0,0.0003852608136564379,5.51093802164245e-05,7.173746532668182e-05,3.832599673376053e-05,8.068780969487682e-05,0.00010518691093803025
orders_ords_last_24_24_lob_cd_2_orig_order_value_amt_mean,3.868414784449326e-05,0.0004221201080241882,0.0003657087027775309,0.0006143626704007614,0.0005361937781897739,0.0006954238878686421,0.00044541554918423157
efforts_prospect_eff_last_full_third_chr_final_key_cd_7_effort_id_countdist,0.000193730579647685,0.00030085589847271744,0.0006718882838897351,0.0005773407038638902,0.0007645775280847678,0.00046582568506303316,0.0004957031131703047
prospect_preliminary_pr_24_24_match_group_individual_ct_20_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_major_categ_cd_mdsp_order_no_line_item_no_countdist,0.0,0.00025420630168953087,0.0002133894951348972,0.00020918117267717834,0.0003405840603499221,0.00026657938961585593,0.00021399006991123072
efforts_xsell_eff_last_24_24_lob_cd_3_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_12_24_match_group_individual_ct_15_effort_id_countdist,0.00028360402994879606,6.851172178838277e-05,5.634017151633431e-05,0.00010974816607937529,6.0114726872163866e-05,4.653254121599032e-05,0.00010414189290350712
trans_trans_last_6_12_trans_type_cd_cancels_trans_amt_sum,0.0,0.00018080126098990858,0.00026336345346046906,0.00026939097394330913,0.00023159366479992436,0.00023057352994317894,0.00019595381385613167
nonorders_nonords_last_12_24_lob_cd_3_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_extra_eff_business_category_cd_b_days_since_effort_extra_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_product_type_cd_a_line_item_qty_min,0.0,0.0,8.004744653290092e-05,4.180102842008694e-05,4.052982450940136e-05,9.41736918974295e-06,2.8632611442022024e-05
efforts_xsell_eff_last_24_24_solicitation_type_cd_d_order_no_countdist,0.00048532734042378315,9.964460702359184e-05,0.00041222718781828434,0.0005930306788915298,0.0005069812258289299,0.00025627076719010876,0.00039224696786270465
efforts_extra_eff_effort_type_cd_xb_days_since_effort_extra_min,0.0015312925951847698,0.001222010534989358,0.0016556878750713232,0.0017044659656930542,0.001943603933687,0.0023529358441558602,0.0017349994581302274
efforts_customer_eff_last_12_24_effort_type_cd_x9_effort_id_countdist,6.616209491693222e-05,0.00012436562541613151,0.00022593380039844427,0.0002090383476347633,0.00032314968724230577,0.0004037742007119253,0.0002254039593867504
composite_order_items_item_last_12_24_major_categ_cd_coin_per,0.0,0.00047897073620094445,0.00010166595681423389,0.00016525273607312214,0.00018563821820173805,0.0002224469188647129,0.00019232909435912523
orders_ords_last_12_24_comm_channel_type_cd_t_orig_order_value_amt_sum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_12_24_order_pay_catg_cd_a_orig_order_value_amt_mean,0.00017004663307217994,0.0007945316960863772,0.0006558015329543417,0.0009223286585278642,0.0008030193679354678,0.000703415656191949,0.0006748572574613632
efforts_extra_eff_last_full_second_chr_final_key_cd_n_effort_id_countdist,0.0,0.00011126318944884358,0.0006011679656140384,0.00044268161666899793,0.0008963637643379782,0.0006932443697193118,0.0004574534842981949
orders_ords_last_6_12_order_pay_catg_cd_a_orig_order_value_amt_max,0.001171245984871808,0.0008447681472363889,0.000901528257072176,0.0007076623451722839,0.0006238345391695727,0.000583664155174294,0.0008054505714494205
composite_order_items_item_prev_total,0.00019465837943228649,0.000586783702399637,0.0008393964835260467,0.0005146156742473302,0.0008483293917405557,0.000658709756946508,0.0006070822313820606
orders_ords_last_24_24_order_pay_catg_cd_d_order_no_countdist,0.0,0.0002135524710766835,0.00021232990389535175,0.00024042422934263314,0.00013043698205565202,0.00014755918905022395,0.00015738379590342407
efforts_xsell_eff_full_affinity_cd_book_days_since_xsell_effort_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_6_12_lob_cd_3_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_major_categ_cd_coin_order_no_countdist,0.00015500176275969207,0.0,9.394295678501371e-05,1.1222459053341575e-05,9.969968826377487e-06,3.4688070198132494e-05,5.080420293709289e-05
order_items_item_last_12_24_major_categ_cd_mcol_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_0_6_lob_cd_9_order_no_line_item_no_countdist,0.0,0.00014031118315886961,6.308454069502369e-05,2.481829594347676e-05,0.00014774393013590727,9.329706757202896e-05,7.820916958421772e-05
efforts_welcome_eff_lob_cd_3_days_since_welcome_effort_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_lob_cd_4_days_since_welcome_effort_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_customer_eff_last_6_12_effort_type_cd_28_effort_id_countdist,0.00015730192450226328,0.0,9.57507721083267e-05,0.00010996075365646286,0.00023036679516112577,0.0001028719018223861,0.00011604202454176078
efforts_welcome_eff_last_12_24_effort_type_cd_9_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
