,md_5,md_8,md_11,md_14,md_17,md_20,mean_imp
efforts_xsell_eff_last_12_24_affinity_cd_coins_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_24_24_lob_cd_2_orig_order_value_amt_mean,0.0,0.0007747045560889315,0.0011729216473997971,0.000772524261793421,0.00092956485327925,0.0008709573478265083,0.0007534454443979847
efforts_prospect_eff_last_full_third_chr_final_key_cd_7_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_24_24_match_group_individual_ct_20_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_major_categ_cd_mdsp_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_24_24_lob_cd_3_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_12_24_match_group_individual_ct_15_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_6_12_trans_type_cd_cancels_trans_amt_sum,0.0,0.00018031048784685247,0.0003766889287892839,0.00036571216734880086,0.00026480364265808694,0.0002774431281202444,0.00024415972579387805
nonorders_nonords_last_12_24_lob_cd_3_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_extra_eff_business_category_cd_b_days_since_effort_extra_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_product_type_cd_a_line_item_qty_min,1.0338498957505922e-05,6.327015039563111e-05,4.1528916682130464e-05,1.6959565999565455e-05,9.93994607664651e-05,0.00011602707495996725,5.7920611293544214e-05
efforts_xsell_eff_last_24_24_solicitation_type_cd_d_order_no_countdist,6.475876096548628e-05,0.00030240393014717356,0.00037752192367408315,0.0003466530377249393,0.00037791085165901004,0.0003245379740524272,0.00029896441303718657
efforts_extra_eff_effort_type_cd_xb_days_since_effort_extra_min,0.0018908784503519818,0.0024768180612911575,0.0025220308906850997,0.0025355361356400596,0.003077702805759231,0.0036101458100466274,0.0026855186922956934
