,md_5,md_8,md_11,md_14,md_17,md_20,mean_imp
efforts_xsell_eff_last_12_24_affinity_cd_coins_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_24_24_lob_cd_2_orig_order_value_amt_mean,0.0003957553302458886,0.00016249569192143738,0.0006624115078244807,0.0005096921255374853,0.0005061316361135039,0.00046475099398801824,0.0004502062142718024
efforts_prospect_eff_last_full_third_chr_final_key_cd_7_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merkle_household_ds918s_ds918_do_not_call_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_24_24_match_group_individual_ct_20_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_major_categ_cd_mdsp_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_24_24_lob_cd_3_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_12_24_match_group_individual_ct_15_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_6_12_trans_type_cd_cancels_trans_amt_sum,0.00014837593776123367,0.000496217936314235,0.00031601407505187464,0.00028605803394786525,0.0002828138848396806,0.00017059587576976801,0.0002833459572807762
nonorders_nonords_last_12_24_lob_cd_3_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_extra_eff_business_category_cd_b_days_since_effort_extra_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_product_type_cd_a_line_item_qty_min,0.0,0.00018483782243225176,6.277356123755676e-05,5.63604800243903e-05,4.3377717748733835e-05,5.901143723540487e-05,6.772683644638958e-05
efforts_xsell_eff_last_24_24_solicitation_type_cd_d_order_no_countdist,0.0,0.00016186923868078757,0.0003303117499450128,0.00028757400881464007,0.00042490498263779474,0.0003637601642818457,0.0002614033573933468
efforts_extra_eff_effort_type_cd_xb_days_since_effort_extra_min,0.0014040043869440687,0.0017809789504881907,0.0020731082137897907,0.0020969504518055897,0.002298311127917991,0.002356687932485717,0.0020016735105718914
efforts_customer_eff_last_12_24_effort_type_cd_x9_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
composite_order_items_item_last_12_24_major_categ_cd_coin_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_12_24_comm_channel_type_cd_t_orig_order_value_amt_sum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_12_24_order_pay_catg_cd_a_orig_order_value_amt_mean,0.00031570571634418503,0.00047068931903348495,0.0007619664243144852,0.0007231076598805775,0.0007712565070457001,0.0006419402569305979,0.0006141109805915052
efforts_extra_eff_last_full_second_chr_final_key_cd_n_effort_id_countdist,7.898381166367265e-05,0.00033395056703826895,0.0002488017215107874,0.0006002371915962827,0.0004823792326513655,0.0005233797642702012,0.0003779553814550964
orders_ords_last_6_12_order_pay_catg_cd_a_orig_order_value_amt_max,0.00045496342852925626,0.0005289093985558683,0.0008834273095956607,0.0006966184829279774,0.0004360391287479857,0.000524284223279545,0.0005873736619393823
composite_order_items_item_prev_total,0.003525648910010191,0.001875871784452217,0.0013267925412913382,0.0011081528802901201,0.0010130891612393758,0.0010185649751815234,0.0016446867087441276
orders_ords_last_24_24_order_pay_catg_cd_d_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merkle_household_xb951_mor_mail_order_responder_deduped_count,0.0014442564966727274,0.0016117607817330638,0.0011851057080200535,0.0019857574629446825,0.001885298586123478,0.002055302952856536,0.0016945803313917571
efforts_xsell_eff_full_affinity_cd_book_days_since_xsell_effort_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_6_12_lob_cd_3_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_major_categ_cd_coin_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_major_categ_cd_mcol_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_0_6_lob_cd_9_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_lob_cd_3_days_since_welcome_effort_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_lob_cd_4_days_since_welcome_effort_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_customer_eff_last_6_12_effort_type_cd_28_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_12_24_effort_type_cd_9_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_customer_eff_last_full_third_chr_final_key_cd_6_effort_id_countdist,0.0003067004839029913,0.00018854174014842817,0.0002910208634501911,0.00016914088734998063,0.0002084033267654703,0.0002544466122742149,0.00023637565231521274
orders_ords_last_0_6_order_pay_catg_cd_a_orig_order_value_amt_min,0.0018051654115416914,0.0005868158393305303,0.0008945598925913127,0.0007050064473147052,0.0006237442431638822,0.0004486089524871901,0.0008439834644048853
efforts_welcome_eff_last_full_first_chr_final_key_cd_p_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
composite_order_items_item_last_24_24_major_categ_cd_usap_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_third_chr_final_key_cd_1_effort_id_countdist,0.0006273529599412292,0.0014424900810281862,0.0007769764406881196,0.001190808033152999,0.0010180192343640596,0.0012584810626720079,0.0010523546353077668
efforts_customer_eff_last_12_24_effort_type_cd_ib_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_12_24_effort_type_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merkle_household_xb807_equity_term,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_24_24_major_categ_cd_hort_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_0_6_product_type_cd_a_line_item_qty_max,0.0,3.620639981677965e-05,0.0001263105916838486,9.79897783890055e-05,4.826784240039405e-05,7.801654554493986e-05,6.44651929724946e-05
composite_order_items_item_last_24_24_major_categ_cd_mdso_per,0.00016640498669784847,0.0001938940220708592,0.00026732290563628825,0.0002577160987802687,0.00022939856004828283,0.00019390768634283475,0.00021810737659606365
order_items_item_last_0_6_major_categ_cd_hort_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
composite_order_items_item_last_6_12_major_categ_cd_jwly_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_product_type_cd_a_line_item_qty_max,0.0,1.6384009306784863e-05,2.664386056763542e-05,3.5932919835033114e-05,9.109374936559523e-05,5.708961903210994e-05,3.7857359684526426e-05
efforts_customer_eff_last_0_6_effort_type_cd_id_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,0.0,0.00037712413609934566,0.0006243767895322881,0.0005697106531892365,0.0006591558006598744,0.0003994930669442892,0.0004383100744041724
merkle_household_mv033_cooking,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_first_chr_final_key_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_0_6_order_pay_catg_cd_g_orig_order_value_amt_mean,0.0006824289274013203,0.0003488262023045937,0.00027378525207391623,0.0001540423119991941,0.00015540778462820994,8.966187873705038e-05,0.00028402539285738083
nonorders_nonords_last_12_24_lob_cd_9_count,0.005146847595157049,0.0027610563699281224,0.0017882775588893502,0.0014323560026902225,0.0009440369746865476,0.001267482267174434,0.0022233427947542877
orders_ords_last_0_6_lob_cd_i_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_first_chr_final_key_cd_v_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_major_categ_cd_swat_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_6_12_xsell_category_cd_ukn_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_12_24_comm_channel_type_cd_t_orig_order_value_amt_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_customer_eff_last_full_first_chr_final_key_cd_d_effort_id_countdist,5.785257867301657e-05,0.0005097842830904723,0.0005967236282301056,0.0005708740118277062,0.0006222860185669695,0.0006310943909172663,0.0004981024852175894
efforts_xsell_eff_last_6_12_affinity_cd_audio_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_24_24_order_pay_catg_cd_k_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trans_trans_last_12_24_trans_type_cd_650_trans_amt_mean,0.00019858860200672518,0.0008511172918488116,0.000653850385863293,0.001055816384747682,0.0007497721692136319,0.0007436616513630005,0.0007088010808405241
merkle_household_vw106_number_credit_lines,0.00023115554590268702,0.0009587241148175639,0.0011126622314642665,0.001427505107511438,0.0012179552830472791,0.0012709692510167367,0.0010364952556266617
order_items_item_last_12_24_major_categ_cd_spmi_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_fifth_chr_final_key_cd_9_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_0_6_effort_type_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonorders_nonords_lob_cd_2_days_since_nonords_entry_max,0.014905573143062945,0.01024059834062412,0.00580442571218136,0.004611792023061748,0.004750876133094228,0.004098161280604419,0.007401904438771469
efforts_xsell_eff_last_0_6_xsell_category_reason_cd_1_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_24_24_solicited_class_cd_h_order_no_countdist,0.0,0.00012149542398476958,0.00017041104927700997,0.00035884172681212886,0.0003541625434197381,0.0003105360766204681,0.00021924113668568578
efforts_xsell_eff_last_0_6_xsell_category_cd_t_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_6_12_affinity_cd_audio_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_12_24_match_group_individual_ct_1_effort_id_countdist,8.761706454580562e-05,0.0003584864176398267,0.0005939483610869986,0.0006780972175272848,0.0007913878768652495,0.0008350816707370377,0.0005574364347337004
prospect_preliminary_pr_24_24_match_group_individual_ct_8_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_0_6_major_categ_cd_prem_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_product_type_cd_b_line_item_qty_sum,0.00015399325958408716,0.00021255713297941813,0.00036311056155083316,0.0003367283171983494,0.00033120730845034044,0.0002398726494821365,0.00027291153820752746
efforts_prospect_eff_effort_type_cd_d_days_since_effort_min,0.0,0.0008382274900125122,0.0010860900154670257,0.0011436095676112,0.0012018851429856032,0.0012109996561013316,0.0009134686453629454
orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sum,0.0,0.0002497926686548703,0.0005730812689689503,0.0005871960193340412,0.0006110200129975095,0.0006483053674200555,0.0004448992228959045
efforts_xsell_eff_last_24_24_lob_cd_2_order_no_countdist,0.0,0.00024775780311764187,0.00017074318943286374,0.00023061502111935771,0.0001612250008139289,0.00014834200533944808,0.00015978050330387337
efforts_customer_eff_last_full_fourth_chr_final_key_cd_3_effort_id_countdist,0.0,0.00036721572383179165,0.0004458057939213295,0.00046751886452498637,0.0005716658020505417,0.0006349673350654425,0.00041452891989901525
orders_ords_last_24_24_lob_cd_i_order_no_countdist,0.0,0.0,0.00016242388792220137,0.0002514325048776045,0.000289592553316338,0.0002298382571354257,0.00015554786720859494
orders_ords_last_6_12_order_pay_catg_cd_d_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_extra_eff_last_full_first_chr_final_key_cd_p_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_fourth_chr_final_key_cd_h_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
