,features,importances
7,trans_trans_last_6_12_lob_cd_i_trans_amt_payment_sum,0.04951422201513328
51,trans_trans_last_0_6_lob_cd_i_trans_amt_payment_sum,0.049202228884875916
31,trans_trans_trans_type_cd_650_days_since_trans_min,0.042124879469948376
41,trans_trans_last_12_24_lob_cd_2_trans_amt_payment_mean,0.03208475766839811
66,order_items_item_last_24_24_lob_cd_i_order_no_countdist,0.031936648715713195
77,nonorders_nonords_days_since_nonords_entry_min,0.031289782586315096
29,trans_trans_days_between_order_trans_mean,0.029995415737984726
10,online_outbound_email_out_days_since_outbound_mail_min,0.029439135821159222
76,efforts_xsell_eff_full_solicited_class_cd_n_days_since_xsell_effort_min,0.026023643001154395
50,trans_trans_last_6_12_trans_type_cd_650_trans_amt_sum,0.02508849312535805
70,trans_trans_days_between_order_trans_max,0.024210173599218204
81,trans_trans_last_6_12_lob_cd_i_trans_amt_payment_sd,0.024197373614119458
5,composite_nonorders_nonords_last_12_24_per,0.023465646650349028
75,online_outbound_email_out_last_6_6_count,0.022745268689159187
42,online_outbound_email_out_last_3_6_count,0.02273996132743223
1,orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sum,0.022379360608697874
61,trans_trans_last_0_6_trans_type_cd_650_order_no_countdist,0.018821753225891278
52,orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sd,0.017621883814479728
19,composite_nonorders_nonords_last_12_24_lob_cd_9_per,0.01745315846830296
35,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,0.01586845488950524
90,online_regevent_days_since_registation_min,0.015810762081258978
86,nonorders_nonords_days_since_nonords_entry_max,0.0157411229964606
39,composite_nonorders_nonords_last_6_12_per,0.015032779818180192
18,online_inbound_email_in_days_since_inbound_mail_max,0.013915329471195413
56,composite_nonorders_nonords_12_24_to_24_24_growth,0.013769983013123934
25,composite_nonorders_nonords_last_24_24_lob_cd_9_per,0.013407999965504853
87,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_mean,0.013176755382474549
62,trans_trans_last_12_24_trans_type_cd_650_trans_amt_mean,0.013114571291950497
46,tenure,0.012917569663995859
34,order_items_item_last_12_24_product_type_cd_b_order_no_line_item_no_countdist,0.012249727110687504
53,orders_ords_days_between_effort_order_max,0.01162000317167806
13,efforts_xsell_eff_full_solicited_class_cd_n_days_since_xsell_effort_max,0.011466238800712705
83,trans_trans_last_12_24_lob_cd_i_order_no_countdist,0.011400706853194931
91,orders_ords_last_0_6_business_src_cd_b_orig_order_value_amt_max,0.01115064693338621
36,composite_nonorders_nonords_0_6_to_6_12_growth,0.011131721186720888
3,composite_nonorders_nonords_last_6_12_lob_cd_9_per,0.010954806608630734
12,composite_nonorders_nonords_last_24_24_per,0.010652236112094938
40,efforts_customer_eff_last_24_24_effort_type_cd_xb_effort_id_countdist,0.01050323978644118
16,online_submailability_days_since_subscription_first,0.010480660703961931
27,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,0.010305294114442377
80,orders_ords_last_12_24_business_src_cd_b_orig_order_value_amt_min,0.009772806513461975
44,orders_ords_last_0_6_comm_channel_type_cd_m_orig_order_value_amt_min,0.009632578011399957
55,trans_trans_last_24_24_lob_cd_2_trans_amt_payment_mean,0.00926710056281572
0,efforts_customer_eff_days_since_effort_cust_max,0.00921917378774903
64,order_items_item_last_12_24_lob_cd_i_order_no_line_item_no_countdist,0.009192867946790457
65,trans_trans_last_12_24_lob_cd_i_trans_amt_payment_sd,0.00886106880410833
2,online_sweepentry_sse_last_6_6_device_type_mobile_sweepstake_entry_id_countdist,0.00856706133005927
8,efforts_xsell_eff_last_6_12_xsell_category_cd_x_order_no_countdist,0.008118003441909041
17,composite_orders_ord_values_last_6_12_to_12_24_growth,0.0077310116928303455
89,order_items_item_last_12_24_with_offer_cd_true_order_no_countdist,0.007546290087083691
68,orders_ords_days_between_effort_order_mean,0.007461505233746562
37,online_regevent_days_since_registation_max,0.0074588114914600516
14,order_items_item_last_12_24_product_type_cd_b_order_no_countdist,0.0067937297897074185
72,orders_ords_last_0_6_lob_cd_2_orig_order_value_amt_min,0.006579584640380298
71,online_inbound_email_in_last_6_6_email_spam_sum,0.006351326713366607
48,order_items_item_last_12_24_order_no_countdist,0.006220752870147539
28,orders_ords_last_6_12_business_src_cd_a_orig_order_value_amt_mean,0.005984896580373797
9,efforts_xsell_eff_last_6_12_xsell_category_reason_cd_1_xsell_effort_id_countdist,0.005856641005718799
78,efforts_xsell_eff_last_12_24_solicited_class_cd_n_order_no_countdist,0.005706103193556158
32,online_submailability_sub_last_6_12_count,0.0045306496947835236
82,orders_ords_last_12_24_business_src_cd_a_orig_order_value_amt_sum,0.004328214191049593
11,efforts_xsell_eff_last_24_24_affinity_cd_default_order_no_countdist,0.003646823961741411
47,trans_trans_last_0_6_order_no_countdist,0.0033487648211459804
69,composite_order_items_item_last_12_24_product_type_cd_b_per,0.003284353695916253
22,efforts_xsell_eff_full_xsell_category_cd_t_days_since_xsell_effort_max,0.003222013273171112
58,orders_ords_last_24_24_order_pay_catg_cd_d_orig_order_value_amt_max,0.0032165293835771398
54,efforts_xsell_eff_full_xsell_category_cd_t_days_since_xsell_effort_min,0.0029485441787389004
23,efforts_xsell_eff_last_12_24_solicitation_type_cd_d_xsell_effort_id_countdist,0.002639825544279139
6,orders_ords_last_24_24_effort_type_cd_cross_sell_orig_order_value_amt_mean,0.00261801694127324
15,order_items_item_last_6_12_with_offer_cd_true_line_item_qty_max,0.0023441658159156615
4,efforts_xsell_eff_last_6_12_affinity_cd_default_xsell_effort_id_countdist,0.002250848840593988
84,orders_ords_last_24_24_order_pay_catg_cd_a_orig_order_value_amt_min,0.0018639744319827092
79,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_min,0.001515813154929819
43,efforts_xsell_eff_full_affinity_cd_die_cast_days_since_xsell_effort_min,0.0014957929601606159
38,trans_trans_last_0_6_lob_cd_2_trans_amt_payment_sd,0.001249166095248389
20,customer_order_inquiry_cs_last_6_12_order_no_line_item_no_countdist,0.0009064480180198298
67,efforts_xsell_eff_last_12_24_xsell_category_cd_a_order_no_countdist,0.0007283732350792189
88,customer_order_inquiry_cs_last_6_12_comm_channel_type_cd_m_order_no_line_item_no_countdist,0.0004738426023183006
