,features,importances
79,trans_trans_last_6_12_lob_cd_i_trans_amt_payment_sum,0.057415824238556325
51,trans_trans_days_between_order_trans_mean,0.054774663659337725
13,trans_trans_days_between_order_trans_max,0.05213269122796684
42,trans_trans_last_0_6_lob_cd_i_trans_amt_payment_sum,0.04831678726550282
9,trans_trans_last_6_12_lob_cd_i_trans_amt_payment_sd,0.04405403152243349
65,nonorders_nonords_days_since_nonords_entry_min,0.03937912492212502
87,online_outbound_email_out_days_since_outbound_mail_min,0.03621309721815981
24,trans_trans_last_0_6_lob_cd_i_trans_amt_payment_sd,0.03596903095059215
74,online_outbound_email_out_last_0_3_count,0.02749007979511921
0,online_regevent_days_since_registation_min,0.02647706228850395
81,tenure,0.023719079326164388
15,online_outbound_email_out_last_3_6_count,0.022718114406664627
83,composite_nonorders_nonords_last_6_12_per,0.02088948399988572
55,composite_nonorders_nonords_last_12_24_per,0.020849530823524576
64,efforts_xsell_eff_full_solicited_class_cd_n_days_since_xsell_effort_max,0.02012339141596132
14,nonorders_nonords_lob_cd_2_days_since_nonords_entry_min,0.020122527889120716
47,trans_trans_last_24_24_trans_type_cd_650_trans_amt_sum,0.018445785796429956
40,composite_nonorders_nonords_last_6_12_lob_cd_9_per,0.018111438299157387
86,online_sweepentry_sse_last_6_6_sweepstake_entry_id_countdist,0.0160303370751473
22,trans_trans_last_0_6_trans_type_cd_650_trans_amt_max,0.01574680928999202
37,composite_nonorders_nonords_last_24_24_lob_cd_9_per,0.01541982619750737
36,online_regevent_days_since_registation_max,0.015190544597339992
88,nonorders_nonords_lob_cd_2_days_since_nonords_entry_max,0.014676495001456666
72,online_inbound_email_in_days_since_inbound_mail_max,0.01460997584791579
23,trans_trans_last_6_12_trans_amt_payment_sum,0.014074399257615638
54,composite_nonorders_nonords_12_24_to_24_24_growth,0.013919140144769429
8,online_outbound_email_out_last_6_6_count,0.013908732649385717
18,trans_trans_last_24_24_trans_type_cd_650_order_no_countdist,0.0135104435274691
52,trans_trans_last_12_24_trans_type_cd_650_trans_amt_sum,0.013101662444685974
43,trans_trans_last_12_24_trans_amt_payment_sum,0.012820893331310017
2,online_sweepentry_sse_days_since_sweepstake_entry_max,0.0126506953339745
53,orders_ords_last_0_6_business_src_cd_b_orig_order_value_amt_sum,0.012644767229447268
32,composite_nonorders_nonords_last_12_24_lob_cd_9_per,0.011941884594733547
49,nonorders_nonords_last_6_12_lob_cd_9_count,0.011432500748430585
28,orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sum,0.010652369576206282
61,orders_ords_last_6_12_comm_channel_type_cd_i_orig_order_value_amt_mean,0.009931389370140103
26,efforts_xsell_eff_last_0_6_solicited_class_cd_n_order_no_countdist,0.009738311817583263
27,efforts_xsell_eff_full_solicited_class_cd_h_days_since_xsell_effort_max,0.009473333033048472
31,online_submailability_days_since_subscription_first,0.008791976283724743
35,trans_trans_last_24_24_lob_cd_2_trans_amt_payment_mean,0.008603785673696442
58,efforts_customer_eff_days_since_effort_cust_min,0.00853645950475598
29,composite_nonorders_nonords_0_6_to_6_12_growth,0.008352595553483583
12,orders_ords_days_between_effort_order_mean,0.008061978914119831
84,efforts_customer_eff_days_since_effort_cust_max,0.007893654301214283
25,online_inbound_email_in_last_6_6_email_unsub_sum,0.006586158370610981
44,orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_max,0.006432320794431341
66,efforts_customer_eff_last_24_24_effort_id_countdist,0.0063216881989881625
68,orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sd,0.006207249730875926
