,features,importances
51,trans_trans_days_between_order_trans_mean,0.047986779997668205
42,trans_trans_last_0_6_lob_cd_i_trans_amt_payment_sum,0.044830733116629204
13,trans_trans_days_between_order_trans_max,0.04164857785247885
79,trans_trans_last_6_12_lob_cd_i_trans_amt_payment_sum,0.036242027565777775
9,trans_trans_last_6_12_lob_cd_i_trans_amt_payment_sd,0.03528621492551253
87,online_outbound_email_out_days_since_outbound_mail_min,0.035006017862358824
24,trans_trans_last_0_6_lob_cd_i_trans_amt_payment_sd,0.03371513074224208
65,nonorders_nonords_days_since_nonords_entry_min,0.029133677327123075
47,trans_trans_last_24_24_trans_type_cd_650_trans_amt_sum,0.02783186962424941
68,orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sd,0.02695944968362458
74,online_outbound_email_out_last_0_3_count,0.026146642125542276
8,online_outbound_email_out_last_6_6_count,0.02462783559533255
28,orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sum,0.022884875535585436
0,online_regevent_days_since_registation_min,0.022164827760039554
15,online_outbound_email_out_last_3_6_count,0.020658556504510744
81,tenure,0.01887373255928398
36,online_regevent_days_since_registation_max,0.018469506543237896
22,trans_trans_last_0_6_trans_type_cd_650_trans_amt_max,0.01834318654176014
43,trans_trans_last_12_24_trans_amt_payment_sum,0.017354290421036537
53,orders_ords_last_0_6_business_src_cd_b_orig_order_value_amt_sum,0.01683702715979146
64,efforts_xsell_eff_full_solicited_class_cd_n_days_since_xsell_effort_max,0.015861992867220665
23,trans_trans_last_6_12_trans_amt_payment_sum,0.015650279814283213
40,composite_nonorders_nonords_last_6_12_lob_cd_9_per,0.015604040866915221
72,online_inbound_email_in_days_since_inbound_mail_max,0.015049425868382985
88,nonorders_nonords_lob_cd_2_days_since_nonords_entry_max,0.014700191197601912
54,composite_nonorders_nonords_12_24_to_24_24_growth,0.01457612061314934
55,composite_nonorders_nonords_last_12_24_per,0.0144759997699906
83,composite_nonorders_nonords_last_6_12_per,0.014136826198673092
35,trans_trans_last_24_24_lob_cd_2_trans_amt_payment_mean,0.014122465566326122
37,composite_nonorders_nonords_last_24_24_lob_cd_9_per,0.013521280668906897
49,nonorders_nonords_last_6_12_lob_cd_9_count,0.013455524497879257
29,composite_nonorders_nonords_0_6_to_6_12_growth,0.013149978178873919
86,online_sweepentry_sse_last_6_6_sweepstake_entry_id_countdist,0.012894874188107036
39,trans_trans_last_24_24_lob_cd_2_trans_amt_payment_sum,0.012498192282569478
18,trans_trans_last_24_24_trans_type_cd_650_order_no_countdist,0.011966133199234515
32,composite_nonorders_nonords_last_12_24_lob_cd_9_per,0.011528134712261235
2,online_sweepentry_sse_days_since_sweepstake_entry_max,0.011368530897103749
71,orders_ords_last_0_6_comm_channel_type_cd_m_orig_order_value_amt_min,0.011055503435114288
26,efforts_xsell_eff_last_0_6_solicited_class_cd_n_order_no_countdist,0.010591633466357038
44,orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_max,0.010290363123382117
27,efforts_xsell_eff_full_solicited_class_cd_h_days_since_xsell_effort_max,0.01019259372212347
66,efforts_customer_eff_last_24_24_effort_id_countdist,0.010121222758601217
61,orders_ords_last_6_12_comm_channel_type_cd_i_orig_order_value_amt_mean,0.00949882054660131
52,trans_trans_last_12_24_trans_type_cd_650_trans_amt_sum,0.009109580077700023
90,trans_trans_last_12_24_lob_cd_9_trans_amt_payment_sum,0.009011493596807103
58,efforts_customer_eff_days_since_effort_cust_min,0.008967806580802751
84,efforts_customer_eff_days_since_effort_cust_max,0.008456905852630205
59,efforts_xsell_eff_last_12_24_lob_cd_i_xsell_effort_id_countdist,0.007441848956127905
14,nonorders_nonords_lob_cd_2_days_since_nonords_entry_min,0.007226278742928671
77,orders_ords_last_12_24_business_src_cd_b_orig_order_value_amt_min,0.0063404587948598335
82,efforts_xsell_eff_last_12_24_solicitation_type_cd_d_xsell_effort_id_countdist,0.0058955955746406675
31,online_submailability_days_since_subscription_first,0.0057610008980553944
19,efforts_xsell_eff_last_6_12_affinity_cd_default_xsell_effort_id_countdist,0.005506341408420261
73,efforts_customer_eff_last_6_12_effort_type_cd_xa_effort_id_countdist,0.005117099176950884
56,trans_trans_trans_type_cd_cancels_days_since_trans_min,0.0050516839456149765
