,features,importances
81,trans_trans_last_6_12_lob_cd_i_trans_amt_payment_sum,0.05826327059207713
73,trans_trans_trans_type_cd_650_days_since_trans_min,0.04270116051393285
62,trans_trans_last_0_6_lob_cd_i_trans_amt_payment_sum,0.04125300696345304
1,efforts_xsell_eff_full_solicited_class_cd_n_days_since_xsell_effort_min,0.030245450378251788
19,trans_trans_days_between_order_trans_mean,0.026554133569519814
72,trans_trans_last_6_12_lob_cd_i_trans_amt_payment_sd,0.026023683247831404
47,order_items_item_last_24_24_lob_cd_i_order_no_countdist,0.0258244184353592
42,trans_trans_days_between_order_trans_max,0.024932773834182704
44,online_outbound_email_out_days_since_outbound_mail_min,0.023772449183041954
78,composite_nonorders_nonords_last_12_24_lob_cd_9_per,0.02303501343043297
20,nonorders_nonords_days_since_nonords_entry_min,0.022103594786551776
54,orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sum,0.021307872056059874
68,trans_trans_last_0_6_trans_amt_payment_sum,0.02069217143294423
66,online_outbound_email_out_last_3_6_count,0.019631699868485727
58,trans_trans_last_12_24_lob_cd_2_trans_amt_payment_mean,0.019321071685831182
76,trans_trans_last_6_12_trans_amt_payment_sum,0.0187587607090602
13,online_outbound_email_out_last_6_6_count,0.018455807277058922
36,composite_nonorders_nonords_last_6_12_per,0.01747675769477999
38,trans_trans_last_12_24_lob_cd_i_order_no_countdist,0.01657349443102567
0,tenure,0.01655213128415056
60,composite_nonorders_nonords_6_12_to_12_24_growth,0.015701019508190393
17,composite_nonorders_nonords_12_24_to_24_24_growth,0.01530141960084283
84,composite_nonorders_nonords_last_6_12_lob_cd_9_per,0.015197544164409946
34,online_regevent_days_since_registation_min,0.014801757293080359
77,orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_sd,0.014474440927134263
61,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_sum,0.014189491426888023
46,composite_nonorders_nonords_last_12_24_per,0.013301160165869916
21,online_inbound_email_in_days_since_inbound_mail_max,0.01249140899776229
70,composite_nonorders_nonords_0_6_to_6_12_growth,0.01246199816906778
35,efforts_xsell_eff_full_xsell_category_cd_x_days_since_xsell_effort_max,0.0124359969094858
6,efforts_customer_eff_last_24_24_effort_type_cd_xb_effort_id_countdist,0.012215842545120398
89,efforts_customer_eff_days_since_effort_cust_max,0.012171571870852493
53,trans_trans_days_since_trans_min,0.012018353913785062
10,composite_orders_ords_last_24_24_order_pay_catg_cd_a_per,0.011866896920889432
23,order_items_item_last_12_24_unit_cost_amt_sum,0.011750130936483864
51,composite_nonorders_nonords_last_24_24_lob_cd_9_per,0.011613072377489446
52,online_submailability_sub_last_24_24_count,0.011602594020894887
32,orders_ords_last_12_24_business_src_cd_b_orig_order_value_amt_min,0.011548364910215991
69,order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_sum,0.011228962580562229
48,orders_ords_last_12_24_comm_channel_type_cd_i_orig_order_value_amt_sum,0.01116691043798398
56,efforts_xsell_eff_full_solicited_class_cd_n_days_since_xsell_effort_max,0.011122217070672272
87,orders_ords_last_0_6_lob_cd_2_orig_order_value_amt_min,0.011094650422465975
4,orders_ords_last_0_6_comm_channel_type_cd_m_orig_order_value_amt_min,0.009786092657352516
26,online_regevent_days_since_registation_max,0.00975999905125556
82,online_submailability_days_since_subscription_first,0.009716802433110336
15,order_items_item_last_12_24_with_offer_cd_true_unit_cost_amt_max,0.009590362688626602
14,orders_ords_days_between_effort_order_mean,0.00931822484974471
45,composite_orders_ord_values_last_6_12_to_12_24_growth,0.008612112315248758
75,order_items_item_last_12_24_order_no_countdist,0.008266786579134995
83,order_items_item_last_12_24_unit_cost_amt_mean,0.00806945345995117
49,trans_trans_last_12_24_lob_cd_i_trans_amt_payment_sd,0.008016974823750194
24,orders_ords_last_6_12_business_src_cd_a_orig_order_value_amt_mean,0.007939271095390764
5,efforts_xsell_eff_last_12_24_solicited_class_cd_n_order_no_countdist,0.007617838387864602
80,orders_ords_last_0_6_business_src_cd_b_orig_order_value_amt_max,0.007292611746242604
63,order_items_item_last_12_24_with_offer_cd_true_line_item_qty_sum,0.006987805999098425
86,order_items_item_last_12_24_lob_cd_i_order_no_line_item_no_countdist,0.006882283224711572
